Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,TS%,Wins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,66,15965,2638,5896,0.447,631,1872,0.337,2007,4024,0.499,1076,1550,0.694,795,2274,3069,1456,504,313,946,1464,6983,2019,0.531,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder*,72,17430,2879,6156,0.468,770,2171,0.355,2109,3985,0.529,1422,1787,0.796,593,2495,3088,1562,550,353,986,1390,7950,2019,0.573,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic*,73,17570,2871,6468,0.444,807,2354,0.343,2064,4114,0.502,1282,1656,0.774,751,2498,3249,1747,599,396,937,1336,7831,2019,0.544,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers*,73,17595,3000,6417,0.468,848,2307,0.368,2152,4110,0.524,1236,1638,0.755,764,2553,3317,1884,586,389,1037,1529,8084,2019,0.566,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,73,17595,3006,6429,0.468,831,2320,0.358,2175,4109,0.529,1451,1740,0.834,712,2465,3177,1987,559,290,1077,1609,8294,2019,0.576,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers*,74,17835,3122,6749,0.463,952,2525,0.377,2170,4224,0.514,1312,1632,0.804,754,2599,3353,1525,465,451,946,1606,8508,2019,0.57,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,72,17455,2943,6364,0.462,914,2511,0.364,2029,3853,0.527,1127,1464,0.77,695,2372,3067,1713,556,293,1043,1595,7927,2019,0.566,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,71,17215,2995,6350,0.472,760,2021,0.376,2235,4329,0.516,1348,1664,0.81,640,2530,3170,1751,518,390,895,1377,8098,2019,0.572,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors*,72,17380,2897,6331,0.458,995,2663,0.374,1902,3668,0.519,1329,1670,0.796,685,2583,3268,1816,636,358,1067,1559,8118,2019,0.574,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz*,72,17355,2886,6130,0.471,963,2537,0.38,1923,3593,0.535,1278,1641,0.779,656,2577,3233,1615,438,292,1089,1468,8013,2019,0.585,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,72,17355,2990,6544,0.457,864,2345,0.368,2126,4199,0.506,1394,1770,0.788,732,2295,3027,1801,574,309,1020,1634,8238,2019,0.562,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks*,72,17405,2937,6281,0.468,895,2402,0.373,2042,3879,0.526,1417,1745,0.812,760,2525,3285,1737,503,342,953,1392,8186,2020,0.581,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics*,72,17380,2985,6401,0.466,979,2618,0.374,2006,3783,0.53,1160,1496,0.775,765,2421,3186,1689,556,383,1012,1471,8109,2020,0.574,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets*,72,17405,3106,6289,0.494,1020,2600,0.392,2086,3689,0.565,1305,1623,0.804,640,2559,3199,1929,484,379,975,1371,8537,2020,0.61,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,72,17355,2875,6324,0.455,985,2666,0.369,1890,3658,0.517,1146,1505,0.761,762,2389,3151,1933,565,344,1069,1298,7881,2020,0.564,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,72,17380,3035,6380,0.476,904,2446,0.37,2131,3934,0.542,995,1258,0.791,693,2544,3237,1927,482,304,1089,1362,7969,2020,0.575,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,72,17430,2778,6175,0.45,720,2141,0.336,2058,4034,0.51,1200,1614,0.743,751,2327,3078,1716,559,325,1114,1308,7476,2020,0.543,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks*,72,17305,2958,6287,0.47,994,2744,0.362,1964,3543,0.554,1186,1524,0.778,657,2463,3120,1647,450,311,869,1396,8096,2020,0.582,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets*,72,17480,3114,6422,0.485,927,2462,0.377,2187,3960,0.552,1129,1406,0.803,758,2442,3200,1933,582,323,972,1374,8284,2020,0.588,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,72,17430,2783,6162,0.452,832,2370,0.351,1951,3792,0.515,1278,1683,0.759,694,2381,3075,1743,531,371,1075,1477,7676,2020,0.556,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,72,17305,2973,6347,0.468,1048,2789,0.376,1925,3558,0.541,1193,1520,0.785,574,2524,3098,1991,587,342,1080,1526,8187,2020,0.583,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,72,17305,2826,6372,0.444,992,2923,0.339,1834,3449,0.532,1189,1606,0.74,671,2396,3067,1699,546,361,1060,1407,7833,2020,0.553,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,72,17455,3115,6567,0.474,889,2445,0.364,2226,4122,0.54,1183,1493,0.792,648,2424,3072,1973,611,460,975,1453,8302,2020,0.575,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers*,72,17280,3009,6242,0.482,1027,2498,0.411,1982,3744,0.529,1164,1387,0.839,678,2501,3179,1756,509,295,950,1383,8209,2020,0.599,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers*,72,17455,2925,6197,0.472,796,2248,0.354,2129,3949,0.539,1241,1679,0.739,695,2490,3185,1775,562,386,1095,1377,7887,2020,0.569,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies*,72,17405,3085,6608,0.467,803,2258,0.356,2282,4350,0.525,1184,1536,0.771,803,2543,3346,1938,655,364,957,1349,8157,2020,0.56,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat*,72,17380,2824,6029,0.468,932,2606,0.358,1892,3423,0.553,1201,1520,0.79,579,2409,2988,1895,569,286,1013,1363,7781,2020,0.581,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks*,72,17330,3221,6610,0.487,1038,2669,0.389,2183,3941,0.554,1169,1539,0.76,741,2724,3465,1834,585,334,995,1244,8649,2020,0.593,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,72,17405,2932,6546,0.448,944,2706,0.349,1988,3840,0.518,1265,1662,0.761,757,2376,3133,1846,632,398,1027,1507,8073,2020,0.555,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,72,17430,3060,6412,0.477,762,2190,0.348,2298,4222,0.544,1369,1878,0.729,845,2568,3413,1872,545,315,1052,1295,8251,2020,0.57,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks*,72,17430,2839,6225,0.456,847,2163,0.392,1992,4062,0.49,1181,1506,0.784,696,2554,3250,1541,507,365,932,1473,7706,2020,0.559,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,72,17355,2795,6338,0.441,857,2529,0.339,1938,3809,0.509,1113,1536,0.725,715,2568,3283,1588,504,316,1162,1305,7560,2020,0.539,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
